NIF;clave;nombre;direccion;latitud;longitud;frase
43694363C;4GtsqChERc7;Mella Duerdin;3 Westend Way;39.684048;1.31182;Supongo que es diferente cuando lo consideras a largo plazo
86661878O;prff3yPC;Pavia Adamov;55 Main Terrace;37.470541;2.677275;No te preocupes
67462104W;DIL3ITLSNL5y;Alene Inder;944 Calypso Junction;41.797562;1.391193;Los llamare cuando regrese manana
67318919N;Q6nk5S;Michal Pasfield;6 Old Shore Way;38.490859;-8.866857;Siempre me gustaron mas los personajes misteriosos
51948111I;ujPPPKt;Eleni Cabble;065 Hayes Court;42.034247;-5.611388;Deberias dormir
43947063M;QFgSdqQ6tG;Sebastien Antonetti;9469 Cascade Pass;37.006628;-4.390974;Les dije que me mandaran otro boleto
80591899Z;WjWyniDmIg;Audie Jex;7 School Hill;38.597042;-8.870626;Eres tan impaciente conmigo
03669055J;7LnFJaE6;Genny Poat;39127 Sauthoff Trail;38.318141;-3.149674;No puedo vivir asi
41962796K;oZ8w5lrzRT;Ed Lias;42929 Judy Avenue;38.080146;0.176345;Una vez quise ser astrofisico
58544156P;2LRPHouI;Felix Yeowell;2784 Milwaukee Circle;42.475829;-1.316912;Nunca me gusto la biologia
21346140R;SCWJ9Mbrlc;Sascha Norwell;008 Hagan Lane;41.578839;-6.761273;La ultima persona a la que le conte mi idea penso que yo estaba loco
34209945I;NR4wBXrX;Anthiathia Bysouth;9907 Blackbird Crossing;36.604466;-5.949802;Si el mundo no fuera como es yo podria confiar en cualquiera
86347639M;VOdbAE5P9U;Dill Jencey;45 Washington Alley;38.257295;2.740725;Desafortunadamente es verdad
47272034Q;KM3pBujG8eZm;Ferdinanda Andras;5 Iowa Avenue;38.514304;-6.462575;Estan muy ocupados peleandose entre ellos como para preocuparse por los ideales comunes
74412636E;Po3dQgg3f;Cesaro Dunmuir;86 Knutson Way;35.86688;-0.853389;La mayoria de la gente cree que estoy loco
70559804K;j1B66WGrwNw;Iolanthe Tant;0 Hudson Park;36.510968;-3.665588;No no lo soy Lo eres tu
63537809N;jbLMyR6l9g3;Christopher Rouke;75 Thackeray Place;41.351343;-1.327908;Esa es mi frase
15313304T;w234hqzbq;Karilynn Starsmeare;5518 Orin Alley;38.276586;-3.345546;El esta pateandome
77971364M;lAwnnY;Robert Danser;4 Clarendon Point;40.372208;1.131733;Estas seguro
71979879R;2qy2CMxaO;Gaelan Somner;9 Alpine Place;37.987654;3.545454;Entonces tenemos un problema que es grave
20184355Q;qqIYgFQ;Ephraim Yvon;882 Reinke Park;42.01182;-8.21074;Ah alli hay una mariposa
22827377M;YeuzHko;Costa Labarre;55856 Eliot Alley;40.384076;0.137457;Date prisa
03617327R;HWCy4Bjg4G;Royall Sewill;9 Sutherland Way;42.965072;1.485007;No me sorprende
22232005I;k2Yq0Uac;Lammond Trewinnard;0 Jay Drive;37.161881;2.415579;Si yo pudiera ser asi
22446396L;eKyxnHhIiQ3g;Patience MacTerrelly;29240 Manley Parkway;42.645892;1.538534;Por alguna razon me siento mas vivo por la noche
37438509C;U6HQKbk;Emanuel Grayne;47160 Pearson Park;38.923898;-6.79566;Eso depende del contexto
12862315U;EgPGPcyDQ;Creight Tampion;0 Delaware Hill;36.557625;2.664915;Acaso te quieres burlar de mi
06028289H;y29pM16n3q;Fancy Lidgertwood;74456 Killdeer Drive;36.417693;-1.405763;Es la cosa mas estupida que he dicho nunca
24025243R;1VDCqSOhM7B;Tadeas Hadkins;2018 Trailsway Street;37.317539;-6.348481;No quiero ser patetico quiero ser guay
19446551O;TqrCo6;Karney Asplen;4448 Leroy Court;39.773394;1.57741;Cuando crezca quiero ser un rey
13563339E;EF8EVQOag;Winnifred Brauns;92573 Springview Avenue;43.176805;-6.985261;America es un lugar encantador para vivir si estas aqui para ganar dinero
22553916X;Mf2L8oq731;Rodge Foran;79 Boyd Court;42.7858;2.396325;Estoy tan gordo
47406310Y;HVLB9UMsPia;Bard Demann;16066 Messerschmidt Court;40.820421;-5.591379;Entonces que
64119669I;79DLgosj;Ranique Quinevan;989 Dixon Plaza;38.377186;2.25428;Voy a pegarle un tiro
04214149U;VaTjKhs;Aurel Poveleye;1584 Coolidge Way;37.178131;-4.26213;No soy un pez de verdad solo soy un peluche
05040449R;wfKopYJYg4Dg;Marietta Yoakley;893 Sage Parkway;39.123895;-8.122456;Yo solo lo digo
07832518R;Kb0XZXbx;Maryjo Gissop;9525 Crest Line Pass;37.968407;-0.658904;Eso fue probablemente lo que influencio su decision
97841605I;qzTCkoZa;Selie Paireman;2 Blaine Place;41.866156;-8.922561;Siempre me he preguntado como sera tener hermanos
70907676J;QywzgUMK4;Helena Streeter;85 Valley Edge Terrace;36.115557;2.72574;Esto es lo que yo habria dicho
88603227C;Xk9c7XVj64M;Lilah Dearan;8438 Stang Park;42.247973;-2.637757;Me tomaria una eternidad explicarte todo
62538656M;3FY4Ai;Waylen Dugdale;314 Ruskin Point;41.073043;-8.432977;Eso es porque eres una chica
14813804B;5cwzDRBf8A;Kiele Simonson;7422 Jenna Junction;42.50289;-5.941514;Algunas veces no puedo evitar mostrar mis sentimientos
25893814U;R6svFTgMZEa8;Tiffy Dauber;1030 Melby Circle;37.112865;0.614866;Es una palabra para la que me gustaria encontrar una sustituta
12833868J;aZ5bYLu7Ej39;Hammad Cottle;402 Burning Wood Crossing;37.180973;-5.806653;Eso seria algo que habria que programar
18721293N;QTaCGzxwnE;Keriann Camelli;824 Comanche Trail;38.070485;-6.46343;No tengo la intencion de ser egoista
91896627E;GfjztAx;Janella L Estrange;3928 Pawling Alley;36.452715;-5.226194;Pensemos en lo peor que podria pasar
79784484W;kOMsVAFAse;Any Weston;33 Bonner Street;41.328933;-1.110147;Cuantos amigos intimos tienes
46341054V;KjR4bWq;Randell Shillum;8 Kim Plaza;35.898616;0.983784;Yo puedo ser antisocial pero eso no significa que no hable con la gente
05849062S;XLcEzLo;Ephrem Stanmore;5758 Hanover Crossing;37.783462;-7.276494;Asi ha sido siempre
48752282T;sNuJUdgvz;Anderson Pergens;78 Sunbrook Alley;43.007235;-3.78631;Creo que lo mejor es no ser maleducado
37680002X;nNWj0wNK;Lisbeth Lauga;80 Waubesa Alley;40.635029;-5.856652;Uno siempre puede encontrar tiempo
73546191X;a7UBYSUa;Jud Josefson;5 Bayside Street;37.189273;3.756214;Es verdad que tengo ganas de ir al extranjero
12858236C;X9v5i7JJbZfE;Kylie Vittore;0 Becker Junction;42.923142;-0.889331;Cuando yo estaba en el instituto me levantaba a las 6 todas las mananas
52908298B;3cNPaOXXV4OX;Courtnay Malatalant;3714 Corscot Circle;36.79985;-2.34269;Cuando me desperte estaba triste
83279776S;3pIxdjmv644;Tabitha Lake;9998 Pond Circle;42.449859;-3.255995;Por fin esta mas o menos explicado
38719316N;oImhgRu;Harvey Jencey;88413 Mcbride Parkway;42.451654;3.52185;Yo pensaba que te gustaba aprender cosas nuevas
28944063I;p1h6h4CqHD5u;Shandee Pillinger;42799 Twin Pines Pass;42.515476;-6.799941;La mayoria de la gente escribe sobre su vida cotidiana
44831769C;LttuoTKAV8;Raddy Deschelle;5428 Mifflin Street;40.697545;-8.755844;Si pudiera enviarte un malvavisco Trang lo haria
03642489B;kwgt13TJ0mJ;Lezlie Bianco;80 Superior Street;40.179855;-8.431094;Para hacer eso tienes que arriesgarte
44858040C;3AGt83pqA;Petunia Bolletti;30226 Maryland Crossing;37.103815;-2.308416;Todas las personas que estan solas estan solas porque tienen miedo de los demas
33055092Z;UxpX3WTz0;Maddy Dennes;279 Dawn Way;43.223051;-8.995753;Por que lo preguntas
10996212A;rnVjyaGnk;Rowe Bottjer;3 Manufacturers Parkway;36.38363;-8.518117;No soy un artista Nunca tuve mente para ello
23857748L;iwzVQ27qD6pH;Trix Bleasdille;71 Hooker Alley;38.539728;-1.719436;No puedo decirselo ahora Ya no es tan simple
09798721C;7jYvj8hcog34;Bethina McCrudden;5792 1st Road;39.465201;-8.77419;Soy una persona que tiene muchos defectos pero esos defectos pueden ser corregidos facilmente
63952594J;wiJON6Ao4L;Hetti Meneely;473 Lakewood Gardens Point;42.380862;-8.972018;Cada vez que encuentro algo que me gusta es demasiado caro
00250106L;vyI7fXjz;Westbrook Brazear;3269 Northwestern Crossing;40.303694;-6.91183;Cuanto tiempo estuviste
93626377J;wq6rh7oxmi;Fawn Coupe;728 Lindbergh Pass;37.497529;-2.273031;Quizas sea lo mismo para el
56350870S;emhLvobEjW2;Bell Burriss;72 Sage Place;40.316914;-1.821907;La inocencia es una cosa hermosa
00919540Q;QacZTKnT3;Amye Letts;681 Raven Circle;39.98546;-1.694319;Los humanos nunca fueron hechos para vivir eternamente
81800667F;7gY4w9;Nola Meah;3731 Barby Place;42.725269;-6.232108;No quiero perder mis ideas aunque algunas de ellas sean un poco extremas
33277099J;4RQAaI;Jess Barefoot;41592 Onsgard Court;35.976899;-3.561707;Creo que tengo una teoria sobre eso
62051129V;CtoNlfyfIcvd;Josefa Eannetta;204 Summit Trail;41.102969;-8.83105;Eso es intrigante
31825795N;oC8abV;Amabelle Chooter;9974 Spaight Parkway;40.598235;-2.766893;Quieres decir que ocultas intencionalmente tu belleza
22473738S;d1MLT2xrBLT;Obie Kirsop;769 Karstens Terrace;42.782499;-4.758005;Yo no tengo una cuenta en estos foros
64893216S;SBQcsFPqy;Esma Bierman;8 Nancy Street;36.829146;2.76906;Si alguien fuera a preguntar cual es el objetivo de la historia realmente no lo se
14041008S;TPKyO00Lc;Theodora Baigent;45 Northport Circle;42.487361;-5.214243;No sabia de donde venia eso
65701319N;yK2z3Z5GPhR6;Simonne Mitton;48042 Buell Drive;42.414322;-0.801316;Creo que nuestra convivencia ha influenciado tu forma de vida
96705297R;w9sMJOsJx;Persis Denniss;791 Hoepker Plaza;36.496384;-7.808933;No es importante
85258224P;UALQzPmz;Christabel Poyner;96 Mosinee Parkway;36.439422;-0.253484;No me gustaba
00615015K;MHZ91Ue;Carolyn Seeley;0 Ridgeway Alley;42.838777;-3.599316;Ella pregunta como es posible eso
15723164Q;6oG8BANOZO;Neal Diviney;9894 Eagan Parkway;42.226325;-7.194625;Tu simplemente huyes de los problemas de la vida
13692347X;TRPBL24s9zdI;Kenon Saggs;2 Muir Junction;38.808314;-5.875113;Si buscas las letras realmente no significan mucho
18962914S;nQD8iFm;Hendrik Dogerty;05209 Del Mar Plaza;36.028522;-2.907493;Hay un problema que no ves
76362282M;sLciInEWrShX;Taryn Canto;98 Erie Parkway;39.728265;3.201199;Puedes hacerlo
46789661D;mgTMLaQUdN0;Orelle Jerzak;4 Farragut Circle;42.424541;-8.251217;A mi profesor de fisica no le importa si me salto las clases
36246528F;2dLVpFn;Etti de Guise;1 Glacier Hill Road;37.353318;-1.813436;Deseo poder ir a Japon
60186918Y;rnswF1r7;Clemmie Ive;741 Oxford Court;39.498263;-4.194135;Odio cuando hay mucha gente
86745432U;nPM9KYNsLY1;Meredith Pawelczyk;8953 Pond Junction;36.783347;-8.841833;Me tengo que ir a la cama
03395542L;fm3wu0cBgtj;Kiah Brockelsby;15618 Dexter Parkway;40.620555;1.864166;Despues de eso me voy pero entonces me doy cuenta de que olvide mi mochila
51230321G;YsPcZ7JR;Brooks Dysert;7 Granby Street;36.779143;-0.593171;No te preguntare mas por hoy
62987609M;fjvO34Vd;Werner Heatley;447 Stephen Terrace;41.552659;1.410169;Puede que hiele la proxima semana
23202533S;koAEwNqcT;Sid Garfit;716 Blackbird Terrace;37.874111;-5.71473;Aunque el se disculpo aun estoy enojada
32301038D;I2QGDvBWs;Almire Vowdon;06 North Junction;36.178233;-4.32135;La policia te hara encontrar las balas
92973166M;OSQTX7sEF;Francesco Lillecrap;017 Barby Trail;43.19525;-3.492045;Gracias por explicarme por fin por que la gente me toma por un idiota
03732130U;LVUjYI;Marillin Sabban;53 Oriole Junction;41.304755;-1.995756;No era mi intencion
08182724I;2XleUgPYYd1;Godwin Adamo;278 Shasta Avenue;42.08452;-0.994759;Gracias por tu explicacion
20572874Q;btQmP1Zrna;Gay Wormald;64464 Dakota Avenue;37.942224;-1.499642;En teoria estoy haciendo matematica
75487484H;yeDuCeBafDtI;Palmer Wallace;2 Burning Wood Plaza;40.163343;-8.655593;Que ocurrio
31259052V;Q2ccrDZrqc6;Faythe Cammiemile;5 Badeau Pass;36.958963;-6.438237;Casi me asusto el no verte conectado por un dia entero
22848909F;VJCXrNm9CK3;Faye Zealey;6 Village Green Alley;39.960797;-4.393226;No se que quieres decir
39816375W;c8X8dsds;Roberta Libby;520 Mayfield Alley;37.086134;-8.589535;Mi ordenador tiene que ser util para algo
56378287C;wZ19npg;Bambi Twopenny;06 Shasta Street;39.118787;-4.237165;Querias hablarme de libertad
03517494M;BdO2di8idFL;Lora Hughlock;41 Cody Junction;40.482045;-6.599829;Oh ahora es realmente extrano
75198746Q;0dpSl7ptU2u;Freeland Planque;3 Arizona Lane;43.006397;1.241839;Si yo quisiera asustarte te contaria que fue lo que sone hace un par de semanas
15129520L;tFMADev;Kathy Stidson;3966 Harper Center;36.764923;-7.403835;Uno no puede esperarse todo de los colegios
92144055Z;RQ09uz38cmV;Regine Phillpotts;2 Division Street;37.142301;0.2111;Hay muchas palabras que no entiendo
73383239D;EJIrXlg6;Ursola Philler;2 Anthes Trail;41.92976;1.142027;No me gusta cuando matematicos que saben mucho mas que yo no pueden expresarse con claridad
40464844K;YgaRnyvioO;Eugene Benfield;8777 Sheridan Place;39.520935;-2.38375;Realmente no eres tonto
47705041G;Z2QefiGMn;Cassandry Abramchik;278 David Park;39.538327;-9.46;Necesito hacerte una pregunta tonta
97439566R;CjjXlR7N;Karon Joesbury;5230 Crowley Center;42.739701;-1.834356;No se como demostrarlo ya que es tan evidente
26206310G;B4QjesK;Carri Shovelin;7 Cherokee Plaza;40.110753;-1.45858;Nunca hubiera pensado que algun dia buscaria viagra en Wikipedia
23513284A;OAo61EG3hR;Benn Beslier;36 Warner Lane;38.366622;-6.650107;Se puede expresar de otra manera
09281633N;HRjk4mi;Barclay Tarling;577 Union Way;36.107503;-0.452704;Nadie sabra
59322037B;aFrJZP;Georgy Clubb;62 Summer Ridge Plaza;35.878405;-6.88433;Encontre una solucion pero la encontre tan rapido que no puede ser la correcta
03421094B;CVuepYa8aqf;Jabez Bearham;5882 Starling Center;35.925373;0.109423;Me parece interesante
33985487L;BOkSWSMDXNT9;Eden Challender;5 Kenwood Center;38.210716;-2.795569;Salvo que aqui no es tan simple
92738713S;N1k26q8mjUs;Joan Wortman;28 Birchwood Terrace;40.758746;-3.890612;Me gusta la luz de las velas
79686199Y;43BKiXFhI5op;Jeramey Gobeau;11 Parkside Plaza;41.454757;-4.762885;Que has respondido
63129207H;b2apxEgOfhQb;Rosana Karby;139 Meadow Vale Point;42.105604;-6.185435;No no es mi nuevo novio
62816910S;uGpZlyRhA;Sheena Helian;990 Elka Circle;43.09168;-7.130944;Es una lastima que yo no tenga que adelgazar
21575424C;zbYeGYq;Milka Blakden;64798 Milwaukee Point;43.003363;0.616875;Nunca tienes clases o que
02404944J;chvxNaAA;Theodor Bortol;999 Emmet Junction;38.01383;-6.341434;Entonces voy a hacer un sudoku en vez de seguir molestandote
00294168V;VIcegjK7;Rori Archanbault;28 Fairview Lane;39.023145;-5.365673;Donde esta el problema
63043451E;RfbMecHLPZm;Daphne Finby;0 Orin Center;39.625987;-3.422417;Solo puedo esperar
77763999N;HzmxXu;Jeramey Lintott;55 Milwaukee Drive;43.015063;-0.16761;Eso no es ninguna gran sorpresa o si
65198485R;Jl6kEE7qRRru;Meyer Bewley;59052 Everett Court;40.135852;-4.271451;Te quiero
33530852U;AcWfg5fNP2kT;Ardelia Anstiss;80551 Lakeland Pass;37.68627;-2.379074;Ya no te quiero
21669572E;41LLrxypaB6;Merrill Pleager;8 Golf View Terrace;38.186978;-6.828011;Tengo curiosidad
42168834Z;dLs1qgFy2PA;Sylvester Radnedge;4 Thierer Pass;36.650684;0.650507;Felicidades
08569747B;ZskeN7c;Audrye Schutte;2904 East Parkway;42.981592;-5.419177;No quiero esperar tanto tiempo
65909477D;e8ZH60CaohzY;Lexy Joreau;511 Merrick Hill;42.571988;-5.24508;Por que no vienes a visitarnos
83550006S;ne98PIh;Bird Tomalin;95875 Doe Crossing Parkway;37.823824;1.397115;Pero la posibilidad es improbable
84565551U;VA3iswe1hHV;Sarita Goligly;72 Hollow Ridge Avenue;39.887206;2.21008;Por una vez en mi vida hago una buena accion y no sirve de nada
83932487X;RxCo0sLjJQPF;Evie Keigher;22954 Weeping Birch Place;37.796824;-8.402094;No debi desconectarme del sitio
76772377G;MrbUnGcGEExR;Garwin Powers;63947 Reindahl Trail;42.084792;-0.25128;Ya no se que hacer
95764732K;InfRMmHqD;Daphene Curtis;03467 Fair Oaks Avenue;43.174824;-5.18559;Es inevitable que yo vaya a Francia algun dia solo que no se cuando
93319978Z;iml4x5WuleO;Rachele Broy;93 Lotheville Trail;36.977168;1.84698;Detesto la quimica
68681402Y;N0PBmyQxDHW;Rutter Verry;0 Lyons Plaza;42.393014;2.799746;Yo no queria que pasase esto
77941357N;Rz88CdVBc7;Heinrik McGraith;9468 Talmadge Road;37.780749;0.114225;Aunque probablemente adivines que esta pasando
58757113E;yaGSrz6;Koo Coughlin;6 Gale Junction;41.285436;-0.651149;Antes de que te des cuenta saldras en los periodicos
07559431H;3L0e40;Jasun Tarr;0424 Goodland Center;42.143376;-8.985696;Que otras opciones tengo
04377232C;Q8Vrncnf;Yancy Londsdale;4 Bunker Hill Lane;40.627405;-6.120072;No tengo mucho de viajero
95449945D;3RwvKIe;Jonell McCloy;1073 Stone Corner Point;36.469029;-3.97598;No tengo nada mejor que hacer
70270980I;veUIih4;Ag Marcos;2 Namekagon Trail;40.662466;-3.656716;Tampoco lo puedo explicar
24242105C;DNvYhmaVM6s0;Erin Pacitti;5 Warbler Crossing;36.907538;-5.21991;Todo el mundo tiene fortalezas y debilidades
32502676I;jpvQuBgv8;Ealasaid Trenam;970 Westend Lane;37.830961;-6.895428;Pero en serio el episodio 21 casi me hizo llorar de risa
58743115V;4SAMKcOhM;Perri Trotter;0 Little Fleur Center;42.252423;-8.575555;Eso solo muestra que no eres un robot
51110261L;ZbaJXLAX6;Lyda Palle;6673 Marquette Avenue;39.738968;0.758596;Como podria ser yo un robot Si los robots no suenan
08942156Q;T4pGtrZhblX;Jill Swalwel;1013 Warner Street;43.2356;-8.787496;Yo nunca pense en eso dijo el hombre mayor Que deberiamos hacer
34153115V;XgCYMK;Vidovik Turney;0 Bultman Drive;41.032435;-5.948324;No es algo que pueda hacer cualquiera
70452283V;xg804XF;Carlen Plester;5 Granby Pass;37.264789;3.147582;No se si todavia lo tengo de ir al extranjero
31933644L;3Otm3hVuGKc2;Nicoli Jardein;57206 Bartillon Point;38.191072;-2.440662;Que piensas que estaba haciendo
13414024Z;hQVOUizL0;Lisha Clemenson;16 Arapahoe Circle;39.045543;2.899581;No subestimes mi poder
40290998I;QIkWhnC;Morey Ransome;5 Norway Maple Hill;41.312965;-8.420942;Mi mama no habla muy bien ingles
18342945O;BSZWJIlmA;Talbert Guyer;168 Reindahl Circle;39.289284;-6.117531;No hablo frances lo suficientemente bien
40900506W;WABahHSPIgC;Fernande Franceschelli;24 Troy Crossing;36.049693;-3.144642;Me estaba preguntando si vendrias hoy
67270165B;i2EKCSoQ0WzH;Dorie Birwhistle;66832 Vernon Plaza;39.215818;1.708451;Ahi radica el problema
08306470H;8fD8TQNLhBQO;Ree Mulvin;7 Roth Crossing;40.444731;-4.707901;Como encuentras comida en el espacio
74462940D;kza5g3r7Cfsg;Herrick Aphale;051 Center Terrace;40.331836;-8.211872;Todos quieren conocerte Eres famoso
71967460X;2SmbVvU;Lorrayne McVity;601 Harper Hill;41.466893;2.245355;Por que lamentas algo que no has hecho
99545752B;BdP7BqeV;Madelyn Wilbud;7218 Florence Junction;37.53039;-7.280023;Aborrezco profundamente la escritura formal
20688213R;NSqdUhJo;Toby ONoulane;83 Hermina Trail;39.907981;-6.514426;La gente extranjera me intriga
65022057U;icKd5j;Aylmar Fullagar;6029 Rowland Pass;41.054634;-2.364139;Cualquier cosa que hago ella dice que puedo hacerlo mejor
28827208O;oWELHWfpPd;Quintin Rootham;10129 Carberry Plaza;43.189638;-7.362748;Que te mantiene despierto hasta tan tarde
87917464F;2edNukDOBx;Batsheva Larmor;183 Kipling Pass;40.11712;-1.344784;Te sorprenderia lo que puedes aprender en una semana
38995859V;xihs3MQr9;Amalle Roback;753 Novick Lane;38.143212;-5.650177;No tengo a nadie que viaje conmigo
26571927B;7i2Nnm40xs4;Rudyard Baignard;4797 Independence Plaza;42.139508;-8.677629;La vida es dura pero yo soy mas duro
41987437E;TZ5uhY;Alie Whittenbury;739 Riverside Plaza;38.962594;-4.320419;Soportar puede ser insoportable
40979213I;SxrX95;Kristina Mitroshinov;52 North Park;37.649048;-9.63789;Para ya La estas haciendo sentir incomoda
85363451H;FHeePm8cMoz;Perkin Kittless;17 Grayhawk Street;39.307758;-1.870268;Solo la verdad es bella
19824553F;gPo23IWd78L;Peg Lorimer;84 Red Cloud Road;42.28592;-2.662398;Manana alunizara
90742725X;JDhlneCm;Corie Sopp;120 Melby Circle;42.583401;-4.945724;No hablo japones
71224531R;pcHupEG;Erena Follos;4 Lindbergh Street;39.470804;-5.964287;Es un juego de palabras
95645359H;Oat6ctIGMjMe;Regan Cowdry;0 Di Loreto Parkway;41.62514;-4.364237;Nadie me entiende
89722718K;e2FEXZo;Sidonnie Luten;13932 Burrows Way;38.040885;-5.613617;Aprendi a vivir sin ella
66144629M;nCirNrVNYT;Amy Tarquinio;32 Shelley Plaza;38.624572;-5.385096;No servira de nada seguir pensando
94179202P;sncVBi2TKUKo;Cecelia Sjollema;155 Shasta Trail;42.842526;2.560694;Tengo demasiadas cosas en la cabeza estos dias
24216835Y;iB6LKQPo;Mollie Hutt;1 Claremont Terrace;41.925766;-8.805867;Yo solo queria revisar mis correos electronicos
25454102P;hT2AoN5d;Muriel Bissell;66556 Veith Road;38.612348;-7.709443;Realmente necesitas preguntar para saber la respuesta
79070806M;X0bReu;Briano Voss;867 Bay Court;40.850669;0.455354;No puedes esperar de mi que yo siempre piense en todo
66450839C;tXUFErgf4dw;Christos Bullock;89 Burning Wood Plaza;41.947228;-5.969848;Supongo que detras de cada cosa que tenemos que hacer hay algo que queremos hacer
59922178W;M5eQQbM;Joshua Kivelhan;3 Main Junction;42.983611;1.36757;Realmente no tienes las prioridades correctas
00372531J;zfLJyFyknAi;Marquita Lefeaver;14 Blackbird Terrace;38.294451;-4.336457;No esperes que los demas piensen por ti
76256270Q;QyZdynJmDeb3;Juan Jenno;48762 Stephen Court;41.885288;-0.956849;Nunca tienes tiempo para las cosas importantes
61823820S;ThLgDcaE8C;Melanie Cashley;37930 Debra Center;42.435435;-3.19669;No vale la pena que hagas como que me haces creer que creo cosas que tu no crees
46840694W;OLISEAk;Camellia Tomaino;13 Valley Edge Avenue;37.292095;-6.172953;Me llevaria demasiado tiempo explicarte por que no va a funcionar
57536464Z;YiR7DYdB;Gisella Gentile;6416 Debra Pass;39.115079;-8.650366;Soy tan tonto estoy intentando explicarte cosas que no entiendo ni yo
95387156X;f9GA5O;Annabelle Hutton;3868 Grasskamp Plaza;36.079317;0.134267;Deja de mirarme como una persona normal
87359282S;M0Eaf3d;Olive Saphir;7 Maple Wood Hill;41.725973;1.379942;Podrias al menos tratar de ser mas cortes aunque no sea tu naturaleza
86511909W;uz6XKxa4e;Heath Exell;8724 Veith Park;39.05871;-5.715174;Siempre habra cosas que nunca aprendere no tengo toda la eternidad ante mi
03872361O;KJmbqoX7N2q;Emory Castard;212 Lerdahl Center;40.411294;-0.691771;No puede ser
56057847C;TfO69oFVo;Gerek Base;426 Arizona Way;40.155519;2.86658;Te gustaria beber algo
10296010F;q1Kyn5;Miles Setchell;0955 Stoughton Alley;40.824692;-8.823205;Quien es Es tu madre
37892518T;NuctmuuaB;Cointon Gidney;7763 Del Mar Circle;38.073654;-3.5818;Cuando volveras Todo depende del clima
